UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,OFI,2022-10-01,SABADO,396.93347526,377.57811259,367.47100827,360.12676904,360.92307273,364.66633859,372.37432938,402.22696994,447.36373254,480.67371385,509.6977293,524.52657032,527.18191491,515.88721223,500.83235592,493.69142218,485.96049824,475.64171712,501.32848183,510.57367921,490.58420728,456.8924846,427.13859982,398.72560482,10748.99999997,528.0,523.0,522.0
MC-Cali,OFI,2022-10-02,DOMINGO,368.18546845,347.95180265,335.77196249,325.30929459,322.63403224,319.25029998,304.20812618,317.15500835,344.36971352,368.78507432,389.59053296,409.17444562,423.58841013,422.14335242,415.20853508,410.74398986,407.44864135,406.16430184,437.3292611,455.63003566,448.83457035,437.64867528,416.07918445,385.79528113,9219.0,454.0,458.0,451.0
MC-Cali,OFI,2022-10-03,LUNES,376.6796225916,358.0063689966,347.9679320021,344.2310440183,350.4652646417,367.797875096,386.9329692671,429.9959009523,485.0298155313,522.0309633081,552.2844191591,574.5645261464,581.9534268901,579.94651048,582.7375119668,580.386342773,565.0129157079,531.9584303264,539.3828289153,551.2024677134,531.95882122,501.5491238232,461.341458656,419.5834598159,11522.9999999986,553.0,562.0,544.0
MC-Cali,OFI,2022-10-04,MARTES,385.6049460672,370.9402612866,362.0312230986,356.1525934997,358.7211949915,375.3884498649,394.8182025018,437.9628963669,485.506839514,518.4633320952,550.373558303,573.6015739089,574.6898627514,576.0663845389,583.2152934442,585.8490032023,575.6848777523,538.5225381726,540.4407588002,552.8457429568,534.5824560359,503.2361293953,464.1207119353,424.1811695154,11622.9999999989,549.0,571.0,551.0
MC-Cali,OFI,2022-10-05,MIERCOLES,397.45780555,380.60960261,370.56786301,366.40567583,369.02040184,380.84967892,400.71971388,441.61699821,491.75997328,522.03178994,551.23657026,575.10659094,583.05397069,584.96472228,589.91124718,592.21376245,581.22941604,543.88398792,544.32173142,557.24006049,536.77838059,507.04451825,469.85459923,430.12093921,11768.00000002,560.0,560.0,549.0
MC-Cali,OFI,2022-10-06,JUEVES,399.64865114,379.24938362,370.21421207,364.47069243,368.18374774,381.08050427,398.22136933,443.16872414,495.2745861,528.04865169,556.79314292,582.28751916,582.57874115,580.41457178,586.11016273,588.46540018,580.92907785,545.92875996,546.3065075,555.88115449,539.18601455,508.67437076,469.80244097,430.0816135,11781.00000003,565.0,564.0,550.0
MC-Cali,OFI,2022-10-07,VIERNES,393.43579362,372.24288863,365.2480393,360.50076625,363.46143887,373.76480384,390.23720683,436.73021723,487.15863336,517.35560477,550.05431957,569.50328469,574.5112116,570.08426238,575.86734063,573.57515887,563.05899529,531.46986791,533.11839056,538.51276884,515.95616305,487.67780426,458.30044022,423.17459943,11525.0,551.0,546.0,525.0
MC-Cali,OFI,2022-10-08,SABADO,385.85523146,367.0400687,357.21504935,350.0757847,350.84986389,354.4886568,361.98152086,391.00098697,434.8780018,467.25831575,495.47228332,509.88725772,512.46849278,501.48902043,486.85433873,479.9127054,472.39754825,462.36675991,487.33661797,496.32378585,476.89221154,444.14081046,415.2173439,387.59734345,10448.99999999,513.0,509.0,507.0
MC-Cali,OFI,2022-10-09,DOMINGO,353.76796611,334.32661545,322.62371665,312.57074861,310.00024488,306.74901369,292.29586524,304.73577003,330.8847947,354.34409245,374.33484553,393.15188625,407.00142499,405.61295322,398.94969126,394.65996986,391.49366146,390.25961446,420.20420814,437.78835621,431.25898949,420.51111461,399.78624752,370.68820916,8857.99999997,436.0,440.0,433.0
MC-Cali,OFI,2022-10-10,LUNES,373.18185989,354.68200195,344.73677964,341.03459156,347.2109226,364.38258631,383.33999628,426.00305522,480.52593718,517.18350057,547.1560296,569.2292485,576.54953757,574.56125693,577.3263418,574.99700504,559.76633218,527.01878336,534.37424064,546.08412492,527.01917062,496.89185087,457.05754509,415.68730168,11416.0,548.0,556.0,539.0
MC-Cali,OFI,2022-10-11,MARTES,387.72821171,372.98277843,364.02468419,358.11368496,360.69643,377.45546017,396.99219932,440.37446183,488.18019732,521.31815901,553.40409325,576.76000983,577.85429114,579.23839251,586.42666562,589.07487743,578.85478502,541.48781757,543.41660054,555.88989056,537.52604007,506.00711041,466.6763108,426.51684833,11687.00000002,552.0,574.0,554.0
MC-Cali,OFI,2022-10-12,MIERCOLES,392.49296042,375.85521685,365.93891367,361.82871846,364.41078261,376.09229425,395.71412262,436.10053843,485.61715241,515.5108286,544.35079733,567.92264559,575.77075063,577.65763406,582.54236943,584.81612283,573.96898741,537.09005979,537.52233521,550.27929495,530.07321217,500.71077044,463.98540938,424.74808247,11621.00000001,553.0,553.0,542.0
MC-Cali,OFI,2022-10-13,JUEVES,397.10441475,376.8350127,367.8573607,362.15040536,365.83982269,378.6544761,395.68621928,440.34743101,492.12157753,524.68699742,553.24849597,578.58057035,578.86993837,576.71954649,582.37887827,584.71912185,577.23077713,542.45327765,542.82862038,552.34231343,535.7534578,505.43605671,466.81159273,427.34363531,11705.99999998,562.0,561.0,546.0
MC-Cali,OFI,2022-10-14,VIERNES,396.23507649,374.89138467,367.84676722,363.06571747,366.04745518,376.42412825,393.01373186,439.83753852,490.62475119,521.03657307,553.96793815,573.55528203,578.59884018,574.14039336,579.96461802,577.65612746,567.06514172,535.25125873,536.91151056,542.34426967,519.62717437,491.14761597,461.56123294,426.18547293,11607.00000001,555.0,549.0,528.0
MC-Cali,OFI,2022-10-15,SAALF,394.12698683,374.90847481,364.87283201,357.58051968,358.37119316,362.08799254,369.74148456,399.38305425,444.20068076,477.27514633,506.09394965,520.81794446,523.45451464,512.2396703,497.29125824,490.20081392,482.52455091,472.27872796,497.78387632,506.96370622,487.11556836,453.66206049,424.11854832,395.90644527,10672.99999999,524.0,520.0,518.0
MC-Cali,OFI,2022-10-16,DOALF,360.99668612,341.1580805,329.21605044,318.95766502,316.33463688,313.01697164,298.26849469,310.96259035,337.64593129,361.58458475,381.98381901,401.18535784,415.31789122,413.90104811,407.10163234,402.7242569,399.49324971,398.23398681,428.79045353,446.7339074,440.07112283,429.10363118,407.95528238,378.26266907,9039.00000001,445.0,449.0,442.0
MC-Cali,OFI,2022-10-17,LF,368.1854684542,347.9518026483,335.7719624937,325.3092945894,322.6340322357,319.2502999828,304.2081261785,317.1550083486,344.3697135218,368.7850743208,389.5905329599,409.1744456191,423.5884101308,422.1433524228,415.2085350757,410.7439898573,407.4486413454,406.1643018449,437.3292611025,455.630035663,448.8345703455,437.648675277,416.0791844515,385.7952811297,9218.9999999989,448.0,464.0,459.0
MC-Cali,OFI,2022-10-18,MADLF,376.8430694468,358.1617132512,348.1189204305,344.3804109558,350.6173366996,367.9574680297,387.100865201,430.1824825287,485.2402771365,522.2574802582,552.5240635309,574.8138381859,582.2059450828,580.198157842,582.9903703856,580.6381809848,565.2580831625,532.1892549512,539.6168750963,551.4416426105,532.1896460144,501.7667534005,461.5416415331,419.7655232802,11527.9999999987,548.0,570.0,549.0
MC-Cali,OFI,2022-10-19,MIERCOLES,393.8777131432,377.1812700223,367.2299811751,363.1052848001,365.696458721,377.4191838547,397.1102399097,437.6391428592,487.3304561891,517.3296001299,546.2713190351,569.9263310241,577.8021249284,579.6956654679,584.5976346499,586.8794100671,575.9940049156,538.9849649136,539.4187654472,552.2207329569,531.9433611817,502.4773259522,465.6223943059,426.2466343489,11661.9999999988,555.0,554.0,544.0
MC-Cali,OFI,2022-10-20,JUEVES,396.934799,376.67405464,367.70023728,361.99571956,365.68356102,378.49274089,395.51720928,440.15934481,491.91137696,524.46288714,553.01218617,578.33344043,578.62268485,576.47321147,582.13012597,584.46936996,576.98422375,542.22157883,542.59676124,552.10639069,535.52462068,505.2201691,466.61220285,427.16110343,11701.0,561.0,561.0,546.0
MC-Cali,OFI,2022-10-21,VIERNES,398.24919465,376.79700987,369.71658365,364.91123115,367.90812546,378.3375446,395.01147548,442.07329408,493.11866523,523.68507465,556.78383445,576.47074353,581.53993879,577.05882906,582.91265907,580.59243413,569.94761294,537.97201553,539.64070666,545.10108124,522.26851177,493.64418781,463.90741307,428.35183314,11666.00000001,558.0,552.0,531.0
MC-Cali,OFI,2022-10-22,SABADO,391.80055563,372.69548559,362.71908064,355.46981296,356.2558193,359.95067936,367.55899477,397.02559783,441.5786773,474.45791273,503.10660599,517.74368882,520.36469599,509.21605003,494.35587463,487.3072834,479.67633141,469.49098695,494.84558491,503.97122862,484.24024925,450.98420892,421.61508458,393.56951039,10610.0,521.0,516.0,515.0
MC-Cali,OFI,2022-10-23,DOMINGO,354.5667197,335.08147347,323.35215132,313.27648523,310.7001777,307.44160573,292.9558243,305.42381648,331.63188162,355.14414685,375.18003597,394.03956266,407.92037153,406.52876481,399.85045823,395.5510513,392.37759387,391.14076058,421.15296454,438.77681491,432.23270588,421.46056396,400.6889033,371.52516606,8878.0,437.0,441.0,434.0
MC-Cali,OFI,2022-10-24,LUNES,384.19817793,365.15220471,354.91339971,351.10192314,357.46057931,375.13915005,394.65618223,438.57865347,494.71104937,532.45074301,563.30806026,586.03287996,593.56926375,591.52228913,594.36899923,591.97090051,576.29061862,542.57636307,550.14895324,562.20451298,542.57676176,511.56008438,470.549871,427.95837917,11752.99999999,564.0,573.0,555.0
MC-Cali,OFI,2022-10-25,MARTES,384.65582913,365.58716862,355.33616731,351.52015057,357.88638107,375.58601026,395.12629084,439.10108188,495.30034187,533.08499048,563.9790645,586.73095367,594.27631469,592.22690175,595.0770028,592.67604751,576.97708749,543.22267202,550.80428255,562.87420269,543.22307119,512.1694472,471.11038306,428.46815687,11767.00000002,559.0,582.0,560.0
MC-Cali,OFI,2022-10-26,MIERCOLES,396.17437619,379.38057772,369.37126386,365.22251678,367.82879959,379.6198788,399.42575151,440.1909746,490.17203319,520.34609926,549.45657454,573.24951663,581.17123353,583.07581512,588.00636721,590.30144744,579.35257054,542.12773439,542.56406437,555.44067892,535.04507174,505.4072229,468.33739369,428.73203746,11729.99999998,558.0,558.0,547.0
MC-Cali,OFI,2022-10-27,JUEVES,395.88318129,375.67611466,366.72607205,361.03666757,364.71473866,377.48998258,394.46934726,438.99321031,490.60813342,523.07340338,551.54706543,576.80123492,577.08971303,574.94593435,580.58786173,582.92090825,575.45559278,540.78504615,541.15923457,550.64366972,534.10583056,503.88166596,465.37598558,426.02940578,11669.99999999,560.0,559.0,545.0
MC-Cali,OFI,2022-10-28,VIERNES,392.7189041,371.56461525,364.58251142,359.84388849,362.7991664,373.08375734,389.52614554,435.93443983,486.27096904,516.41291777,549.05205139,568.46557805,573.46437989,569.04549713,574.81803789,572.53003277,562.03303096,530.50146294,532.14698178,537.53153082,515.01602601,486.78919395,457.46535915,422.40352206,11503.99999997,550.0,545.0,524.0
MC-Cali,OFI,2022-10-29,SABADO,395.9733608,376.66481545,366.5821585,359.25568373,360.0500613,363.78427284,371.47361931,401.25405142,446.28163588,479.51104601,508.46485731,523.25782989,525.90675166,514.63936894,499.62092777,492.49726672,484.78504258,474.49122083,500.11585363,509.33868845,489.39756765,455.78733951,426.10542431,397.7611555,10722.99999999,527.0,522.0,520.0
MC-Cali,OFI,2022-10-30,DOMINGO,358.36079927,338.66704905,326.81221602,316.62873417,314.02485858,310.73141791,296.09062981,308.69203709,335.18054447,358.94440524,379.19469056,398.25602566,412.28536762,410.87886987,404.12910134,399.78368814,396.57627278,395.32620463,425.65955742,443.47199371,436.85785874,425.97044834,404.97651829,375.50071131,8973.00000002,442.0,446.0,439.0
MC-Cali,OFI,2022-10-31,LUNES,372.4300043553,353.9674183788,344.0422328647,340.347503645,346.5113911362,363.6484588188,382.5676749857,425.1447799661,479.5578137939,516.1415226043,546.0536654933,568.0824131204,575.38795388,573.4036790678,576.163193078,573.8385492678,558.6385618902,525.9569900815,533.2976282072,544.9839203905,525.9573765651,495.8907548137,456.1367038504,414.8498097442,11392.9999999989,547.0,555.0,538.0
MC-Cali,OFI,2022-09-01,JUEVES,407.17959083,386.39592153,377.1904921,371.33874215,375.12176591,388.26154764,405.72541347,451.51975179,504.60749147,537.9991483,567.28529789,593.26008764,593.55679739,591.35184662,597.15476472,599.55438404,591.876048,556.21618757,556.60105335,566.35612405,549.34638253,518.25978034,478.65535175,438.18602893,12003.00000001,576.0,575.0,560.0
MC-Cali,OFI,2022-09-02,VIERNES,411.32389391,389.1674243,381.85454452,376.89143015,379.98671384,390.75853548,407.97987897,456.58675813,509.30797166,540.87788997,575.06329687,595.39653599,600.63215519,596.00392862,602.0499425,599.65354353,588.65924809,555.63387752,557.35735252,562.99699364,539.41482071,509.85074738,479.13770101,442.41481549,12048.99999999,576.0,570.0,548.0
