UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,Demanda_Real,2022-10-01,SABADO,385.30338,354.88855,341.89824,345.10825,348.23468,359.207,366.33896,406.94424,438.0483,480.14648,509.24494,519.08585,522.07542,498.19702,488.01668,493.11099,489.22721,486.0202,511.85275,501.20174,480.96137,443.23408,407.96332,377.57719,10553.88684,531.0,518.0,481.0
MC-Cali,Demanda_Real,2022-10-02,DOMINGO,353.73182,333.13322,317.79032,304.8423,288.96678,286.07536,272.51633,292.84796,323.93535,350.30678,367.21741,385.28559,398.79487,399.9432,396.41873,395.85463,396.91117,397.47808,439.18935,446.77802,438.918,423.14876,408.79383,377.398,8796.27586,461.0,460.0,456.0
MC-Cali,Demanda_Real,2022-10-03,LUNES,370.55391,354.48065,346.54984,338.7745,351.24822,366.75747,387.84629,444.38601,500.9943,535.58492,569.54231,593.76337,595.1993,600.13412,615.08411,614.36873,605.59738,567.73213,575.11273,568.15983,544.59318,507.75375,465.74598,426.51327,11846.4763,585.0,578.0,562.0
MC-Cali,Demanda_Real,2022-10-04,MARTES,400.96685,385.11167,373.29678,370.74772,378.77308,393.64603,415.14945,472.53905,523.91389,561.46898,592.52744,616.57404,608.75324,604.4432,599.56591,545.93862,536.41585,533.41668,544.38789,528.33389,514.76159,479.807,432.79261,394.97542,11808.30688,529.0,524.0,517.0
MC-Cali,Demanda_Real,2022-10-05,MIERCOLES,377.80811,365.63921,358.79833,354.66025,362.1149,378.01011,399.0835,442.85969,483.74326,511.86554,537.26547,564.17722,571.1764,572.26645,585.38239,584.06681,560.28496,537.14423,556.89848,555.15837,529.86119,494.43678,452.26459,413.73973,11548.70597,559.0,556.0,544.0
MC-Cali,Demanda_Real,2022-10-06,JUEVES,382.64402,371.93935,354.83627,357.97718,366.26146,386.62468,401.8435,451.65715,498.55158,527.9125,564.67073,583.76229,578.47351,570.86665,589.88457,599.19369,571.87223,519.12579,539.67133,543.61793,529.3347,489.77943,453.67982,411.61514,11645.7955,551.0,549.0,536.0
MC-Cali,Demanda_Real,2022-10-07,VIERNES,388.50304,372.84097,366.59613,361.53275,363.78567,373.76122,398.62183,441.29992,507.45004,539.9971,570.50853,594.5356,587.1416,585.88359,595.78447,594.74935,576.08996,546.07425,558.5514,547.27329,522.50078,483.2008,447.7912,413.05532,11737.52881,552.345803,542.532684,515.901156
MC-Cali,Demanda_Real,2022-10-08,SABADO,387.84719,368.67898,366.63735,356.78326,345.81435,348.03441,352.81483,393.50821,440.08412,470.20654,495.79061,506.61811,507.84305,486.42149,476.30292,473.98303,464.55844,462.55214,495.91578,488.91148,464.3471,429.9959,394.7283,364.21312,10342.59071,492.83409,485.630546,461.545047
MC-Cali,Demanda_Real,2022-10-09,DOMINGO,342.51119,325.6597,313.78972,305.05087,301.63187,293.13782,282.70761,306.30719,332.0477,357.33201,384.35676,405.66534,415.47417,413.57728,398.48176,390.61273,387.30036,391.54559,434.65029,438.06327,428.9782,409.77367,383.37669,357.31689,8799.34868,429.771444,433.907366,424.194425
MC-Cali,Demanda_Real,2022-10-10,LUNES,338.58794,325.6344,318.27141,314.53388,321.93307,338.18938,361.68395,417.57009,479.94597,514.06638,545.71611,567.88156,570.12737,573.90886,580.42904,587.16407,568.50425,533.32656,544.21378,536.65604,514.15149,478.82937,436.33991,395.88233,11163.54721,558.0,570.0,550.0
MC-Cali,Demanda_Real,2022-10-11,MARTES,367.40615,354.5587,351.63838,346.46157,359.28107,378.0375,398.42784,455.96107,519.34095,551.03211,583.2792,608.45142,607.66119,605.80862,600.80511,604.86013,588.92356,561.03223,573.98869,563.33985,542.70887,508.45387,461.33432,428.65258,11921.44498,553.0,566.0,547.0
MC-Cali,Demanda_Real,2022-10-12,MIERCOLES,398.94142,377.96599,368.65383,363.93699,363.99243,381.36553,395.18036,454.95133,505.96773,548.61369,582.94249,604.87184,602.28844,601.8941,597.36899,572.61113,550.89788,537.86534,556.11689,546.71436,520.59402,493.03141,451.08093,414.79563,11792.64275,562.0,554.0,540.0
MC-Cali,Demanda_Real,2022-10-13,JUEVES,388.45314,361.60665,357.81481,357.46031,361.37408,375.53296,393.1726,446.72126,499.68466,530.53263,557.2549,584.3715,588.02338,582.83059,599.01997,607.78343,589.95491,552.11929,567.52606,554.87317,538.98062,501.38806,458.10012,422.63608,11777.21518,575.0,566.0,548.0
MC-Cali,Demanda_Real,2022-10-14,VIERNES,396.08159,379.51392,367.21451,362.63372,367.72434,375.99899,394.13642,449.28878,505.73495,538.47153,574.99292,596.84802,596.93007,592.04717,596.50266,600.73541,587.79656,553.90086,560.53698,546.71323,523.14309,485.99162,455.92408,428.26159,11837.12301,578.0,570.0,553.0
MC-Cali,Demanda_Real,2022-10-15,SAALF,400.8922,383.84153,372.71485,368.99938,370.17761,374.44579,377.38645,410.15514,453.20345,487.10626,508.72955,529.31445,534.39932,515.52,496.45898,493.40448,482.99472,476.71684,509.54614,503.01331,488.3154,455.26877,412.99046,383.07947,10788.67455,506.0,504.0,489.0
MC-Cali,Demanda_Real,2022-10-16,DOALF,345.94147,341.96327,333.42871,321.13405,302.07605,295.35518,281.73206,302.02012,328.83757,355.12163,377.70656,394.26209,409.4281,408.70561,402.50636,394.47839,388.55584,393.3526,430.25768,428.27371,414.96706,396.31016,371.99891,347.44599,8765.85917,431.0,429.0,415.0
MC-Cali,Demanda_Real,2022-10-17,LF,327.4854,310.00155,299.75026,293.70541,291.39194,286.01692,284.86775,308.44554,334.77027,358.86939,382.29172,404.08712,415.40325,421.87842,411.30088,408.28069,406.06596,407.0355,454.09777,459.28171,449.39372,426.46493,397.17871,369.73922,8907.80403,470.0,470.0,464.0
MC-Cali,Demanda_Real,2022-10-18,MADLF,359.80315,352.8631,343.85094,345.17716,352.72763,371.53237,394.41276,449.03934,501.47297,531.03546,562.63566,592.66214,584.71105,592.17904,600.60215,601.21636,584.53891,561.56621,566.44461,558.2043,534.74006,488.22034,446.18111,411.19524,11687.01206,570.0,563.0,544.0
MC-Cali,Demanda_Real,2022-10-19,MIERCOLES,383.34592,369.00845,365.19611,363.47025,373.25842,398.11508,410.08135,456.05583,507.22535,535.26333,568.43444,589.14567,592.4996,588.89486,594.93973,590.34085,585.14064,547.28457,566.77532,561.49372,528.79423,489.20169,443.0465,409.28066,11816.29257,566.0,563.0,546.0
MC-Cali,Demanda_Real,2022-10-20,JUEVES,381.13117,362.62654,355.02907,350.778,360.26477,384.25288,402.78938,446.61582,492.18388,517.76285,549.34721,571.48777,560.83373,566.64794,578.00527,587.64559,580.69275,551.51707,564.99204,557.41913,521.98137,491.14739,445.76839,414.18733,11595.10734,570.0,562.0,548.0
MC-Cali,Demanda_Real,2022-10-21,VIERNES,385.44873,370.34244,362.28495,358.61809,364.28008,383.03617,404.40779,450.49552,498.39917,527.65376,562.4764,579.01187,574.59514,580.391,584.82771,589.72994,578.11538,547.98517,565.40484,551.9616,532.34203,497.56488,459.98398,418.14252,11727.49916,565.0,557.0,540.0
MC-Cali,Demanda_Real,2022-10-22,SABADO,398.47259,377.76123,364.64537,362.87377,364.12435,371.28263,382.04533,427.13879,464.24906,481.32576,504.05642,524.56062,521.71709,505.04339,497.17583,498.78134,493.46681,486.47288,514.78565,511.03733,486.11221,450.70452,413.03686,382.29133,10783.16116,509.0,507.0,489.0
